statefip,stateName,stateabbrev,area,MSAname,countyfip,township,county_town_name,county_town_BLSname
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,009,209,Mariaville town,Mariaville town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,707,Marion unorganized,Marion unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,053,Mars Hill town,Mars Hill town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,678,Marshfield town,Marshfield town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,054,Masardis town,Masardis town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,360,Mason unorganized,Mason unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,175,Massachusetts Gore unorganized,Massachusetts Gore unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,013,276,Matinicus Isle plantation,Matinicus Isle plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,446,Mattamiscontis unorganized,Mattamiscontis unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,414,Mattawamkeag town,Mattawamkeag town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,415,Maxfield town,Maxfield town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,592,Mayfield unorganized,Mayfield unorganized
23,Maine,ME,74650,"Lewiston-Auburn, ME",001,009,Mechanic Falls town,Mechanic Falls town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,679,Meddybemps town,Meddybemps town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,467,Medford town,Medford town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,416,Medway town,Medway town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,542,Mercer town,Mercer town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,055,Merrill town,Merrill town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,176,Merrills Strip unorganized,Merrills Strip unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,333,Mexico town,Mexico town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,680,Milbridge town,Milbridge town
23,Maine,ME,70750,"Bangor, ME",019,417,Milford town,Milford town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,418,Millinocket town,Millinocket town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,468,Milo town,Milo town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,361,Milton unorganized,Milton unorganized
23,Maine,ME,74650,"Lewiston-Auburn, ME",001,010,Minot town,Minot town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,594,Misery Gore unorganized,Misery Gore unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,593,Misery unorganized,Misery unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,089,Molunkus unorganized,Molunkus unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,015,299,Monhegan plantation,Monhegan plantation
23,Maine,ME,74650,"Lewiston-Auburn, ME",011,248,Monmouth town,Monmouth town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,631,Monroe town,Monroe town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,469,Monson town,Monson town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,056,Monticello town,Monticello town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,632,Montville town,Montville town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,543,Moose River town,Moose River town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,057,Moro plantation,Moro plantation
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,633,Morrill town,Morrill town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,544,Moscow town,Moscow town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,177,Mount Abram unorganized,Mount Abram unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,419,Mount Chase town,Mount Chase town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,009,210,Mount Desert town,Mount Desert town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,492,Mount Katahdin unorganized,Mount Katahdin unorganized
