"statefip","stateabbrev","area","MSAname","countyfip","county_town_name"
"08","CO","19740","Denver-Aurora-Centennial, CO","005","Arapahoe County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","007","Archuleta County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","009","Baca County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","011","Bent County"
"08","CO","14500","Boulder, CO","013","Boulder County"
"08","CO","19740","Denver-Aurora-Centennial, CO","014","Broomfield County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","015","Chaffee County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","017","Cheyenne County"
"08","CO","19740","Denver-Aurora-Centennial, CO","019","Clear Creek County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","021","Conejos County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","023","Costilla County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","025","Crowley County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","027","Custer County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","029","Delta County"
"08","CO","19740","Denver-Aurora-Centennial, CO","031","Denver County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","033","Dolores County"
"08","CO","19740","Denver-Aurora-Centennial, CO","035","Douglas County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","037","Eagle County"
"08","CO","19740","Denver-Aurora-Centennial, CO","039","Elbert County"
"08","CO","17820","Colorado Springs, CO","041","El Paso County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","043","Fremont County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","045","Garfield County"
"08","CO","19740","Denver-Aurora-Centennial, CO","047","Gilpin County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","049","Grand County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","051","Gunnison County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","053","Hinsdale County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","055","Huerfano County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","057","Jackson County"
"08","CO","19740","Denver-Aurora-Centennial, CO","059","Jefferson County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","061","Kiowa County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","063","Kit Carson County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","065","Lake County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","067","La Plata County"
"08","CO","22660","Fort Collins-Loveland, CO","069","Larimer County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","071","Las Animas County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","073","Lincoln County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","075","Logan County"
"08","CO","24300","Grand Junction, CO","077","Mesa County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","079","Mineral County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","081","Moffat County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","083","Montezuma County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","085","Montrose County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","087","Morgan County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","089","Otero County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","091","Ouray County"
"08","CO","19740","Denver-Aurora-Centennial, CO","093","Park County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","095","Phillips County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","097","Pitkin County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","099","Prowers County"
"08","CO","39380","Pueblo, CO","101","Pueblo County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","103","Rio Blanco County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","105","Rio Grande County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","107","Routt County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","109","Saguache County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","111","San Juan County"
"08","CO","0800002","Southwest Colorado nonmetropolitan area","113","San Miguel County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","115","Sedgwick County"
"08","CO","0800003","Northwest Colorado nonmetropolitan area","117","Summit County"
"08","CO","17820","Colorado Springs, CO","119","Teller County"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","121","Washington County"
"08","CO","24540","Greeley, CO","123","Weld County"
