"state","year","state_min_wage","state_min_wage_lastyr","state_min_wage_hike","state_min_wage_period","state_min_wage_last","state_min_wage_hike_last"
"AZ",2100,14.7,14.7,0,1,14.35,0.35
"CA",2024,16,NA,NA,0,NA,NA
"CA",2025,16.5,16,0.5,1,16,0.5
"CA",2026,16.5,16.5,0,1,16,0.5
"CA",2027,16.5,16.5,0,1,16,0.5
"CA",2028,16.5,16.5,0,1,16,0.5
"CA",2029,16.5,16.5,0,1,16,0.5
"CA",2030,16.5,16.5,0,1,16,0.5
"CA",2031,16.5,16.5,0,1,16,0.5
"CA",2032,16.5,16.5,0,1,16,0.5
"CA",2033,16.5,16.5,0,1,16,0.5
"CA",2034,16.5,16.5,0,1,16,0.5
"CA",2035,16.5,16.5,0,1,16,0.5
"CA",2036,16.5,16.5,0,1,16,0.5
"CA",2037,16.5,16.5,0,1,16,0.5
"CA",2038,16.5,16.5,0,1,16,0.5
"CA",2039,16.5,16.5,0,1,16,0.5
"CA",2040,16.5,16.5,0,1,16,0.5
"CA",2041,16.5,16.5,0,1,16,0.5
"CA",2042,16.5,16.5,0,1,16,0.5
"CA",2043,16.5,16.5,0,1,16,0.5
"CA",2044,16.5,16.5,0,1,16,0.5
"CA",2045,16.5,16.5,0,1,16,0.5
"CA",2046,16.5,16.5,0,1,16,0.5
"CA",2047,16.5,16.5,0,1,16,0.5
"CA",2048,16.5,16.5,0,1,16,0.5
"CA",2049,16.5,16.5,0,1,16,0.5
"CA",2050,16.5,16.5,0,1,16,0.5
"CA",2051,16.5,16.5,0,1,16,0.5
"CA",2052,16.5,16.5,0,1,16,0.5
"CA",2053,16.5,16.5,0,1,16,0.5
"CA",2054,16.5,16.5,0,1,16,0.5
"CA",2055,16.5,16.5,0,1,16,0.5
"CA",2056,16.5,16.5,0,1,16,0.5
"CA",2057,16.5,16.5,0,1,16,0.5
"CA",2058,16.5,16.5,0,1,16,0.5
"CA",2059,16.5,16.5,0,1,16,0.5
"CA",2060,16.5,16.5,0,1,16,0.5
"CA",2061,16.5,16.5,0,1,16,0.5
"CA",2062,16.5,16.5,0,1,16,0.5
"CA",2063,16.5,16.5,0,1,16,0.5
"CA",2064,16.5,16.5,0,1,16,0.5
"CA",2065,16.5,16.5,0,1,16,0.5
"CA",2066,16.5,16.5,0,1,16,0.5
"CA",2067,16.5,16.5,0,1,16,0.5
"CA",2068,16.5,16.5,0,1,16,0.5
"CA",2069,16.5,16.5,0,1,16,0.5
"CA",2070,16.5,16.5,0,1,16,0.5
"CA",2071,16.5,16.5,0,1,16,0.5
"CA",2072,16.5,16.5,0,1,16,0.5
"CA",2073,16.5,16.5,0,1,16,0.5
"CA",2074,16.5,16.5,0,1,16,0.5
"CA",2075,16.5,16.5,0,1,16,0.5
"CA",2076,16.5,16.5,0,1,16,0.5
"CA",2077,16.5,16.5,0,1,16,0.5
"CA",2078,16.5,16.5,0,1,16,0.5
"CA",2079,16.5,16.5,0,1,16,0.5
"CA",2080,16.5,16.5,0,1,16,0.5
"CA",2081,16.5,16.5,0,1,16,0.5
"CA",2082,16.5,16.5,0,1,16,0.5
"CA",2083,16.5,16.5,0,1,16,0.5
"CA",2084,16.5,16.5,0,1,16,0.5
"CA",2085,16.5,16.5,0,1,16,0.5
"CA",2086,16.5,16.5,0,1,16,0.5
"CA",2087,16.5,16.5,0,1,16,0.5
"CA",2088,16.5,16.5,0,1,16,0.5
"CA",2089,16.5,16.5,0,1,16,0.5
"CA",2090,16.5,16.5,0,1,16,0.5
"CA",2091,16.5,16.5,0,1,16,0.5
"CA",2092,16.5,16.5,0,1,16,0.5
"CA",2093,16.5,16.5,0,1,16,0.5
"CA",2094,16.5,16.5,0,1,16,0.5
"CA",2095,16.5,16.5,0,1,16,0.5
"CA",2096,16.5,16.5,0,1,16,0.5
"CA",2097,16.5,16.5,0,1,16,0.5
"CA",2098,16.5,16.5,0,1,16,0.5
"CA",2099,16.5,16.5,0,1,16,0.5
"CA",2100,16.5,16.5,0,1,16,0.5
"CO",2024,14.42,NA,NA,0,NA,NA
"CO",2025,14.81,14.42,0.390000000000001,1,14.42,0.390000000000001
"CO",2026,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2027,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2028,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2029,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2030,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2031,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2032,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2033,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2034,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2035,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2036,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2037,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2038,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2039,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2040,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2041,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2042,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2043,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2044,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2045,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2046,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2047,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2048,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2049,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2050,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2051,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2052,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2053,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2054,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2055,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2056,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2057,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2058,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2059,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2060,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2061,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2062,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2063,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2064,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2065,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2066,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2067,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2068,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2069,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2070,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2071,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2072,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2073,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2074,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2075,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2076,14.81,14.81,0,1,14.42,0.390000000000001
